Year,Province,Grade,Male,Female,
2016,Punjab,4,2351,71,
2016,Punjab,3,677,56,
2016,Punjab,2,4116,175,
2016,Punjab,1,20351,2425,
2016,Sindh,21,2,,
2016,Sindh,20,9,0,
2016,Sindh,19,62,39,
2016,Sindh,18,208,95,
2016,Sindh,17,438,132,
2016,Sindh,16,346,93,
2016,Sindh,15,13,0,
2016,Sindh,14,408,116,
2016,Sindh,13,6,0,
2016,Sindh,12,86,1,
2016,Sindh,11,493,461,
2016,Sindh,10,4,0,
2016,Sindh,9,519,2,
2016,Sindh,8,2,673,
2016,Sindh,7,251,100,
2016,Sindh,6,20,0,
2016,Sindh,5,1366,1037,
2016,Sindh,4,195,0,
2016,Sindh,3,12,0,
2016,Sindh,2,1956,1199,
2016,Sindh,1,1907,1,
2016,KPK,21,10,0,
2016,KPK,20,58,1,
2016,KPK,19,101,7,
2016,KPK,18,120,11,
2016,KPK,17,678,43,
2016,KPK,16,603,23,
2016,KPK,14,341,6,
2016,KPK,11,254,6,
2016,Balochistan,22,1,,
2016,Balochistan,21,10,,
2016,Balochistan,20,45,,
2016,Balochistan,19,153,6,
2016,Balochistan,18,487,9,
2016,Balochistan,17,1631,50,
2016,Balochistan,16,1115,27,
2016,Balochistan,15,236,,
2016,Balochistan,14,826,30,
2016,Balochistan,13,32,,
2016,Balochistan,12,250,11,
2016,Balochistan,11,1860,67,
2016,Balochistan,10,21,2,
2016,Balochistan,9,465,25,
2016,Balochistan,8,427,8,
2016,Balochistan,7,271,,
2016,Balochistan,6,2336,14,
2016,Balochistan,5,2152,13,
2016,Balochistan,4,920,4,
2016,Balochistan,3,293,3,
2016,Balochistan,2,3247,25,
2016,Balochistan,1,6947,98,
2016,Gilgit-Baltistan,20,1,,
2016,Gilgit-Baltistan,19,12,,
2016,Gilgit-Baltistan,18,33,2,
2016,Gilgit-Baltistan,17,54,4,
2016,Gilgit-Baltistan,16,100,6,
2016,Gilgit-Baltistan,15,44,,
2016,Gilgit-Baltistan,14,7,,
2016,Gilgit-Baltistan,13,69,10,
2016,Gilgit-Baltistan,11,45,,
2016,Gilgit-Baltistan,10,51,1,
2016,Gilgit-Baltistan,8,52,2,
2016,Gilgit-Baltistan,7,1,10,
2016,Gilgit-Baltistan,6,128,,
2016,Gilgit-Baltistan,5,1,,
2016,Gilgit-Baltistan,4,103,3,
2016,Gilgit-Baltistan,3,31,,
2016,Gilgit-Baltistan,2,5,,
2016,Gilgit-Baltistan,1,95,,
2017,Punjab,22,1,0,
2017,Punjab,21,6,0,
2017,Punjab,20,48,4,
2017,Punjab,19,441,65,
2017,Punjab,18,1493,198,
2017,Punjab,17,5037,2162,
2017,Punjab,16,3143,1139,
2017,Punjab,15,432,38,
2017,Punjab,14,3747,287,
2017,Punjab,13,40,13,
2017,Punjab,12,314,74,
2017,Punjab,11,5154,1002,
2017,Punjab,10,73,120,
2017,Punjab,9,7007,1086,
2017,Punjab,8,231,209,
2017,Punjab,7,481,46,
2017,Punjab,6,884,194,
2017,Punjab,5,3299,1651,
2017,Punjab,4,2721,74,
2017,Punjab,3,671,51,
2017,Punjab,2,3832,170,
2017,Punjab,1,18513,2169,
2017,Sindh,21,2,,
2017,Sindh,20,8,0,
2017,Sindh,19,87,39,
2017,Sindh,18,206,96,
2017,Sindh,17,438,134,
