TIMESTAMP,A,B,C
2022071214,7,346,871
2022071214,7,344,873
2022071214,7,349,874
2022071214,7,353,874
2022071214,7,353,875
2022071214,6,353,875
2022071215,7,351,875
2022071215,7,353,874
2022071215,7,355,876
2022071215,7,351,875
2022071215,7,351,872
2022071215,7,351,872
2022071216,7,353,871
2022071216,6,351,872
2022071216,7,353,873
2022071216,7,353,871
2022071216,7,344,870
2022071216,7,349,870
2022071217,7,346,868
2022071217,7,344,870
2022071217,7,344,870
2022071217,7,344,868
2022071217,7,336,871
2022071217,7,342,871
2022071218,7,342,872
2022071218,6,338,871
2022071218,7,331,870
2022071218,7,336,870
2022071218,7,331,871
2022071218,7,336,870
2022071219,7,329,871
2022071219,7,327,870
2022071219,7,329,871
2022071219,7,329,871
2022071219,7,327,871
2022071219,7,327,870
2022071220,6,327,869
2022071220,7,323,871
2022071220,7,323,873
2022071220,7,325,870
2022071220,7,325,871
2022071220,7,323,869
2022071221,7,323,872
2022071221,7,323,871
2022071221,7,323,872
2022071221,7,319,872
2022071221,7,323,872
2022071221,6,321,872
2022071222,7,319,871
2022071222,7,325,872
2022071222,7,319,872
2022071222,7,319,872
2022071222,7,319,871
2022071223,7,321,872
2022071223,7,319,874
2022071223,7,321,872
2022071223,6,314,875
2022071223,7,319,873
2022071223,7,314,872
2022071300,7,317,874
2022071300,7,314,875
2022071300,7,319,875
2022071300,7,314,875
2022071300,7,314,875
2022071300,6,312,877
2022071301,7,314,876
2022071301,7,310,876
2022071301,7,308,877
2022071301,7,310,877
2022071301,7,308,878
2022071301,7,306,879
2022071302,6,306,878
2022071302,7,304,877
2022071302,7,304,881
2022071302,7,302,877
2022071302,7,300,880
2022071302,7,297,881
2022071303,7,297,878
2022071303,6,300,877
2022071303,7,300,878
2022071303,7,295,878
2022071303,7,295,880
2022071303,7,297,879
2022071304,7,295,880
2022071304,6,295,879
2022071304,7,293,880
2022071304,7,297,879
2022071304,7,293,880
2022071304,7,293,880
2022071305,7,295,882
2022071305,6,289,880
2022071305,7,293,882
2022071305,7,289,881
2022071305,7,289,882
2022071305,7,293,883
2022071306,7,287,884
2022071306,6,289,882
2022071306,7,287,884
2022071306,7,285,883
2022071306,7,287,884
2022071306,7,291,883
2022071307,6,287,882
2022071307,7,291,884
2022071307,7,291,885
2022071307,7,287,883
2022071307,7,289,886
2022071307,6,293,885
2022071308,7,293,886
2022071308,7,295,886
2022071308,7,295,884
2022071308,7,295,883
2022071308,6,297,882
2022071308,7,297,885
2022071309,7,297,884
2022071309,7,300,883
2022071309,7,297,881
2022071309,6,300,882
2022071309,7,306,880
2022071309,7,308,881
2022071310,7,308,878
2022071310,7,308,879
2022071310,7,310,877
2022071310,7,310,877
2022071310,6,312,878
2022071310,7,314,879
2022071311,7,314,877
2022071311,7,321,878
2022071311,7,323,876
2022071311,7,323,874
2022071311,7,327,873
2022071311,6,327,875
2022071312,7,331,875
2022071312,7,331,873
2022071312,7,336,873
2022071312,7,331,872
2022071312,7,340,873
2022071312,7,340,871
2022071313,4,340,872
2022071313,7,342,867
2022071313,7,344,870
2022071313,7,342,871
2022071313,7,344,869
2022071313,7,346,871
2022071314,4,342,870
2022071314,0,344,0
2022071314,0,336,0
2022071314,0,336,0
2022071314,0,336,0
2022071314,3,329,844
2022071315,7,325,843
2022071315,7,319,868
2022071315,6,317,871
2022071315,7,317,871
2022071315,7,319,873
2022071315,7,325,872
2022071316,7,327,872
2022071316,7,323,872
2022071316,7,323,874
2022071316,7,327,871
2022071316,7,325,872
2022071316,6,329,873
2022071317,7,323,872
2022071317,7,331,870
2022071317,7,331,872
2022071317,7,325,871
2022071317,7,327,873
2022071317,7,329,870
2022071318,7,331,873
2022071318,7,329,871
2022071318,7,325,871
2022071318,6,327,872
2022071318,7,327,872
2022071318,7,327,872
2022071319,7,329,875
2022071319,7,325,872
2022071319,7,323,875
2022071319,7,321,876
2022071319,7,321,876
2022071319,7,319,874
2022071320,6,317,878
2022071320,7,314,876
2022071320,7,319,878
2022071320,7,317,879
2022071320,7,312,879
2022071320,7,317,880
2022071321,6,317,879
2022071321,7,310,883
2022071321,7,312,880
2022071321,7,310,880
2022071321,7,308,881
2022071321,7,310,881
2022071322,6,304,882
2022071322,7,310,883
2022071322,7,308,882
2022071322,7,306,883
2022071322,7,308,884
2022071322,6,304,883
2022071323,7,306,884
2022071323,7,304,883
2022071323,7,306,887
2022071323,7,304,885
2022071323,6,308,884
2022071323,7,304,884
2022071400,5,306,884
2022071400,0,302,0
2022071400,6,295,883
2022071400,6,295,882
2022071400,7,297,885
2022071400,7,293,885
2022071401,7,297,887
2022071401,7,293,887
2022071401,6,291,887
2022071401,7,293,886
2022071401,7,295,887
2022071401,7,293,888
2022071402,6,295,884
2022071402,7,295,888
2022071402,7,293,886
2022071402,7,291,886
2022071402,7,293,887
2022071402,6,293,887
2022071403,5,293,889
2022071403,0,289,0
2022071403,0,285,0
2022071403,0,278,0
2022071403,0,276,0
2022071403,1,274,889
2022071404,0,272,0
2022071404,0,270,0
2022071404,0,270,0
2022071404,0,268,0
2022071404,0,263,0
2022071404,0,268,0
2022071405,0,259,0
2022071405,0,257,0
2022071405,0,257,0
2022071405,0,253,0
2022071405,0,255,0
2022071405,0,248,0
2022071406,0,248,0
2022071406,1,248,889
2022071406,0,246,0
2022071406,4,240,869
2022071406,7,240,879
2022071406,7,246,893
2022071407,6,248,894
2022071407,7,253,895
2022071407,7,259,898
2022071407,6,259,895
2022071407,7,268,895
2022071407,7,265,897
2022071408,7,274,897
2022071408,6,274,895
2022071408,7,278,895
2022071408,7,278,896
2022071408,6,287,893
2022071408,7,285,895
2022071409,7,293,893
2022071409,7,291,891
2022071409,6,297,890
2022071409,7,297,888
2022071409,7,302,888
2022071409,7,297,888
2022071410,7,306,888
2022071410,6,304,886
2022071410,7,306,886
2022071410,7,304,886
2022071410,7,308,885
2022071410,6,310,884
2022071411,7,314,884
2022071411,7,317,884
2022071411,7,319,884
2022071411,7,314,880
2022071411,6,319,881
2022071411,7,323,883
2022071412,7,325,880
2022071412,7,327,879
2022071412,7,327,881
2022071412,7,329,880
2022071412,6,331,880
2022071412,5,334,879
2022071413,0,336,0
2022071413,0,334,0
2022071413,0,331,0
2022071413,0,331,0
2022071413,0,331,0
2022071413,0,327,0
2022071414,0,323,0
2022071414,0,323,0
2022071414,0,321,0
2022071414,5,319,868
2022071414,5,319,884
2022071414,7,317,873
2022071415,7,319,876
2022071415,7,323,878
2022071415,7,321,879
2022071415,7,327,874
2022071415,4,329,876
2022071415,0,331,0
2022071416,6,329,876
2022071416,7,331,869
2022071416,6,325,872
2022071416,7,327,874
2022071416,7,325,874
2022071416,7,321,875
2022071417,7,323,873
2022071417,7,323,872
2022071417,7,319,873
2022071417,7,321,873
2022071417,7,319,873
2022071417,6,314,874
2022071418,7,317,876
2022071418,7,312,874
2022071418,7,319,876
2022071418,7,321,876
2022071418,7,319,877
2022071418,7,312,877
2022071419,6,317,877
2022071419,7,312,879
2022071419,7,310,879
2022071419,7,312,878
2022071419,7,308,880
2022071419,7,310,881
2022071420,7,308,881
2022071420,6,308,880
2022071420,7,310,881
2022071420,7,308,882
2022071420,7,310,881
2022071420,7,308,879
2022071421,7,304,880
2022071421,6,310,881
2022071421,7,306,881
2022071421,7,306,884
2022071421,7,308,882
2022071421,7,310,883
2022071422,6,310,882
2022071422,7,306,884
2022071422,7,308,886
2022071422,7,304,883
2022071422,7,304,886
2022071422,6,310,884
2022071423,7,302,886
2022071423,7,306,886
2022071423,7,306,885
2022071423,7,304,885
2022071423,6,304,887
2022071423,4,304,887
2022071500,0,302,0
2022071500,0,300,0
2022071500,0,302,0
2022071500,0,295,0
2022071500,0,293,0
2022071500,0,289,0
2022071501,0,285,0
2022071501,1,280,889
2022071501,0,280,0
2022071501,0,276,0
2022071501,0,270,0
2022071501,0,270,0
2022071502,0,265,0
2022071502,0,265,0
2022071502,0,263,0
2022071502,0,263,0
2022071502,0,261,0
2022071503,0,257,0
2022071503,0,261,0
2022071503,0,255,0
2022071503,0,253,0
2022071503,0,248,0
2022071503,0,255,0
2022071504,0,250,0
2022071504,0,253,0
2022071504,0,248,0
2022071504,0,248,0
2022071504,0,246,0
2022071504,0,246,0
2022071505,0,244,0
2022071505,7,246,889
2022071505,7,244,899
2022071505,6,248,900
2022071505,7,250,900
2022071505,7,255,900
2022071506,6,259,899
2022071506,7,257,899
2022071506,1,257,900
2022071506,0,263,0
2022071506,0,257,0
2022071506,0,255,0
2022071507,0,255,0
2022071507,0,250,0
2022071507,3,248,900
2022071507,7,250,888
2022071507,7,253,891
2022071507,6,255,899
2022071508,7,257,897
2022071508,7,268,898
2022071508,6,268,897
2022071508,7,272,897
2022071508,7,276,897
2022071508,7,278,895
2022071509,6,285,894
2022071509,7,280,893
2022071509,7,287,890
2022071509,7,285,891
2022071509,6,291,891
2022071509,7,289,890
2022071510,7,291,890
2022071510,7,293,890
2022071510,6,297,887
2022071510,7,295,889
2022071510,7,295,884
2022071510,7,295,887
2022071511,7,297,884
2022071511,6,300,883
2022071511,7,302,884
2022071511,7,304,886
2022071511,7,310,883
2022071511,7,312,882
2022071512,6,308,882
2022071512,7,312,883
2022071512,7,314,879
2022071512,7,314,880
2022071512,7,317,879
2022071512,7,314,879
2022071513,6,314,881
2022071513,7,312,880
2022071513,7,312,880
2022071513,7,312,878
2022071513,7,314,878
2022071513,7,317,878
2022071514,6,312,879
2022071514,7,314,880
2022071514,7,308,881
2022071514,7,312,882
2022071514,7,308,881
2022071514,7,310,883
2022071515,6,308,882
2022071515,7,304,884
2022071515,2,306,881
2022071515,0,302,0
2022071515,0,306,0
2022071515,0,300,0
2022071516,1,293,881
2022071516,0,289,0
2022071516,0,291,0
2022071516,0,285,0
2022071516,0,287,0
2022071516,6,285,871
2022071517,7,287,874
2022071517,7,285,884
2022071517,7,291,883
2022071517,7,291,884
2022071517,6,289,884
2022071517,7,295,884
2022071518,7,300,883
2022071518,7,295,885
2022071518,7,295,883
2022071518,6,297,885
2022071518,7,304,883
2022071518,7,306,882
2022071519,7,306,883
2022071519,7,304,883
2022071519,6,306,882
2022071519,7,304,884
2022071519,7,306,884
2022071519,7,302,884
2022071520,7,306,884
2022071520,6,308,884
2022071520,7,308,882
2022071520,7,304,883
2022071520,7,306,886
2022071520,7,304,885
2022071521,6,304,883
2022071521,7,304,886
2022071521,7,304,886
2022071521,7,306,886
2022071521,7,300,885
2022071521,6,297,887
2022071522,7,302,885
2022071522,7,297,888
