Date,Price,Open,High,Low,Vol.,Change %
"Aug 30, 2018","41,863.52","42,261.44","42,273.52","41,659.26",85.93M,-0.91%
"Aug 29, 2018","42,249.44","42,564.34","42,628.34","42,157.63",58.72M,-0.69%
"Aug 28, 2018","42,544.47","42,730.05","42,843.36","42,516.35",75.61M,-0.47%
"Aug 27, 2018","42,745.78","42,618.01","42,871.15","42,618.01",106.93M,0.37%
"Aug 24, 2018","42,588.29","42,445.43","42,618.16","42,280.54",49.17M,0.38%
"Aug 20, 2018","42,425.10","42,610.88","42,701.54","42,309.05",71.27M,-0.05%
"Aug 17, 2018","42,446.62","42,006.53","42,552.84","41,991.98",111.78M,1.16%
"Aug 16, 2018","41,960.80","42,422.98","42,483.11","41,750.54",83.62M,-1.14%
"Aug 15, 2018","42,446.56","42,764.95","42,852.57","42,368.48",74.88M,-0.45%
"Aug 13, 2018","42,637.58","42,813.29","42,857.58","42,594.14",87.29M,-0.48%
"Aug 10, 2018","42,842.18","42,957.10","43,115.52","42,798.88",137.71M,-0.19%
"Aug 09, 2018","42,923.95","42,760.66","42,960.94","42,696.35",107.40M,0.45%
"Aug 08, 2018","42,731.86","42,784.80","42,857.12","42,639.24",92.95M,-0.07%
"Aug 07, 2018","42,760.13","42,838.30","42,993.18","42,705.04",129.18M,-0.11%
"Aug 06, 2018","42,808.66","42,564.41","42,854.32","42,453.88",76.54M,0.71%
"Aug 03, 2018","42,505.05","42,233.74","42,553.37","42,097.07",114.14M,0.41%
"Aug 02, 2018","42,330.32","42,936.70","42,976.17","42,286.20",170.12M,-1.12%
"Aug 01, 2018","42,810.04","42,742.89","42,940.53","42,527.44",123.66M,0.23%
"Jul 31, 2018","42,712.43","43,638.77","43,638.86","42,603.43",158.01M,-1.94%
"Jul 30, 2018","43,556.63","43,045.59","43,605.04","43,045.59",176.41M,1.80%
"Jul 27, 2018","42,786.45","42,089.56","42,845.49","42,014.05",187.53M,1.66%
"Jul 26, 2018","42,089.16","42,106.57","42,136.06","41,696.26",129.86M,1.81%
"Jul 24, 2018","41,339.22","40,494.45","41,461.83","40,487.07",107.58M,2.16%
"Jul 23, 2018","40,463.98","41,217.85","41,219.17","40,418.18",61.17M,-1.84%
"Jul 20, 2018","41,221.75","41,810.96","41,810.96","41,157.45",116.45M,-1.37%
